%% Trajectory 13
52 22.978209 37.020046 4.489315 2.146380 1.876052 -0.001743 0.082137 5.516348 0.440433 -0.282905 4.999569 4.636206
53 22.919142 37.269783 4.634012 2.163734 0.038240 0.188926 0.581081 5.717148 2.359053 -0.084674 4.982071 5.044698
54 23.064316 37.846489 4.099388 2.180662 0.541863 -0.089194 -0.241133 5.712929 -0.848888 -0.399510 4.412329 4.527051
56 23.265671 37.933464 5.731396 2.237893 0.000000 0.199135 0.632029 6.081747 2.734811 -0.172712 6.483229 6.343021
57 23.150534 38.432903 4.980470 2.324175 0.000000 0.583440 1.988645 7.022506 9.420966 -0.062339 5.220567 6.354918
58 23.615532 38.453144 5.108792 2.465770 0.000003 0.068676 0.206295 7.453711 0.966950 -0.987285 6.258093 6.339013
59 23.701935 38.339912 4.374192 2.510649 0.000191 0.041848 -0.134863 8.001582 -2.351286 -0.771701 6.318720 4.663338
60 24.011906 38.406647 4.409838 2.440605 0.000011 0.418552 1.438921 7.402093 7.023441 -0.362519 4.958152 5.804522
61 23.981169 38.244564 4.239892 2.305986 0.000005 0.225734 0.698844 6.415785 3.121879 -0.681883 4.649285 5.127846
62 24.270924 38.085491 3.421763 2.198534 0.061409 0.356413 1.064611 5.955253 4.345886 -0.292838 3.929322 3.593544
64 24.201872 38.670219 2.735398 2.674728 7.833539 -0.127908 -0.828316 9.550808 -5.735951 -0.122320 4.266916 3.049530
65 23.984104 39.523727 2.848932 2.518950 7.564118 -0.492167 -1.813784 8.076346 -9.582682 -0.184403 3.805386 3.370932
66 23.844612 39.721264 2.065862 2.550063 20.256374 -0.434122 -1.532039 7.749577 -7.165371 0.093903 2.663948 2.604131
67 23.830351 39.500149 1.558495 2.617377 21.759933 -0.669500 -2.664545 9.102378 -14.587561 -0.285401 2.285978 1.793190
68 23.288017 39.429619 2.042609 2.793790 28.569183 0.717635 2.323848 9.284318 10.549538 0.101818 3.299769 2.406850
69 22.815271 39.372715 1.586872 2.885116 24.415024 0.187987 0.174272 10.685937 -1.269311 -0.435030 2.848064 1.730244
71 22.926620 39.617504 1.486032 2.611333 16.401775 -0.455873 -1.703300 8.445567 -8.294991 -0.044003 2.321786 1.558739
72 23.671787 39.280502 1.605064 2.874634 8.379334 -0.047711 -0.788684 9.971434 -6.994422 -0.820237 2.644938 1.969033
73 23.525110 39.196438 1.776543 2.730943 2.700952 -0.278453 -1.538559 9.538787 -10.578861 0.040043 2.998894 1.852743
74 24.126387 38.977444 1.310945 2.376461 12.492989 0.103831 -0.251367 7.287248 -3.814359 0.039531 1.638124 1.477286
76 23.140352 39.138855 0.750562 2.530672 75.327332 0.279208 0.875740 8.184565 2.973204 -0.238288 0.955516 0.943910
78 22.487333 39.406399 1.060342 3.165519 35.731312 0.893732 4.115492 12.652475 24.086609 0.333160 1.673028 1.683505
81 22.611263 39.948040 0.963107 3.028365 54.759701 -0.440698 -1.780520 10.463400 -10.125370 -0.511374 1.613771 1.302869
84 21.695852 41.841278 0.689801 3.166121 28.306862 -0.462868 -1.631964 11.884789 -8.063744 -0.338813 0.729507 1.454487

